date,tda_fb_t_01,tda_fb_t_02,tda_fb_t_03,tda_fb_t_04,tda_fb_t_05,tda_fb_t_06,tda_fb_t_07,tda_fb_t_08,tda_fb_t_09,tda_fb_t_10,tda_fb_t_11,tda_fb_t_12,tda_fb_t_13,tda_fb_t_14,tda_fb_t_15,tda_fb_t_16,tda_fb_t_17,tda_fb_t_18,tda_fb_t_19,tda_fb_t_20,tda_fb_t_21,tda_fb_t_22,tda_fb_t_23,tda_fb_t_24
2008-03-22 09:00:00,101.813472,102.204929,102.467532,102.60078,102.864583,103.259452,103.394256,103.394256,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557
2008-03-22 10:00:00,102.204929,102.467532,102.60078,102.864583,103.259452,103.394256,103.394256,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211
2008-03-22 11:00:00,102.467532,102.60078,102.864583,103.259452,103.394256,103.394256,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321
2008-03-22 12:00:00,102.60078,102.864583,103.259452,103.394256,103.394256,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321
2008-03-22 13:00:00,102.864583,103.259452,103.394256,103.394256,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562
2008-03-22 14:00:00,103.259452,103.394256,103.394256,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562
2008-03-22 15:00:00,103.394256,103.394256,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488
2008-03-22 16:00:00,103.394256,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488
2008-03-22 17:00:00,103.263708,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074
2008-03-22 18:00:00,103.267974,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074
2008-03-22 19:00:00,103.267974,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321
2008-03-22 20:00:00,103.137255,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368
2008-03-22 21:00:00,103.006536,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963
2008-03-22 22:00:00,103.141361,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557
2008-03-22 23:00:00,103.010471,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606
2008-03-23 00:00:00,103.010471,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373
2008-03-23 01:00:00,103.014417,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139
2008-03-23 02:00:00,103.014417,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294
2008-03-23 03:00:00,103.018373,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232
2008-03-23 04:00:00,103.018373,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232
2008-03-23 05:00:00,103.153745,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017
2008-03-23 06:00:00,103.149606,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021
2008-03-23 07:00:00,103.285151,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131
2008-03-23 08:00:00,103.416557,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131
2008-03-23 09:00:00,103.684211,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021
2008-03-23 10:00:00,104.084321,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021
2008-03-23 11:00:00,104.084321,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801
2008-03-23 12:00:00,104.353562,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355
2008-03-23 13:00:00,104.353562,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355
2008-03-23 14:00:00,104.485488,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606
2008-03-23 15:00:00,104.485488,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084
2008-03-23 16:00:00,104.216074,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557
2008-03-23 17:00:00,104.216074,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151
2008-03-23 18:00:00,104.084321,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557
2008-03-23 19:00:00,103.947368,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606
2008-03-23 20:00:00,103.547963,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373
2008-03-23 21:00:00,103.416557,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139
2008-03-23 22:00:00,103.149606,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906
2008-03-23 23:00:00,103.018373,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906
2008-03-24 00:00:00,102.887139,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906
2008-03-24 01:00:00,102.752294,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672
2008-03-24 02:00:00,102.621232,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672
2008-03-24 03:00:00,102.621232,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672
2008-03-24 04:00:00,102.49017,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672
2008-03-24 05:00:00,102.356021,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672
2008-03-24 06:00:00,102.225131,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438
2008-03-24 07:00:00,102.225131,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672
2008-03-24 08:00:00,102.356021,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672
2008-03-24 09:00:00,102.356021,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906
2008-03-24 10:00:00,102.617801,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139
2008-03-24 11:00:00,102.883355,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151
